Host Country,Year,Age,Primary %,Secondary %,Tertiary %,COB
Sweden,'16,25 to 54,28.3,26.7,45,Foreign country
Sweden,'16,25 to 54,7.7,48.4,43.9,Reporting country
Sweden,'16,25 to 54,12.6,43.2,44.2,Total
Sweden,'16,30 to 34,10.7,22.6,66.7,EU-28
Sweden,'16,30 to 34,30,25.6,44.5,Extra-EU-28
Sweden,'16,30 to 34,25.9,24.9,49.2,Foreign country
Sweden,'16,30 to 34,6.8,41.3,51.9,Reporting country
Sweden,'16,30 to 34,12.3,36.6,51,Total
Spain,'06,25 to 54,31.3,37.1,31.6,EU-28
Spain,'06,25 to 54,44.4,32.3,23.3,Extra-EU-28
Spain,'06,25 to 54,40.8,33.7,25.6,Foreign country
Spain,'06,25 to 54,45.9,21.1,33,Reporting country
Spain,'06,30 to 34,30.9,38.3,30.8,EU-28
Spain,'06,30 to 34,42.1,34.7,23.2,Extra-EU-28
Spain,'06,30 to 34,39.1,35.6,25.2,Foreign country
Spain,'06,30 to 34,36.6,20.5,42.8,Reporting country
Spain,'07,25 to 54,32.2,37.1,30.6,EU-28
Spain,'07,25 to 54,44.9,33.8,21.4,Extra-EU-28
Spain,'07,25 to 54,41.3,34.7,24,Foreign country
Spain,'07,25 to 54,44.8,21.2,34,Reporting country
Spain,'07,30 to 34,31.5,39.9,28.6,EU-28
Spain,'07,30 to 34,42.1,35.3,22.5,Extra-EU-28
Spain,'07,30 to 34,39.4,36.5,24.1,Foreign country
Spain,'07,30 to 34,33.8,20.7,45.6,Reporting country
Spain,'08,25 to 54,29,40.1,30.9,EU-28
Spain,'08,25 to 54,46.8,32.4,20.8,Extra-EU-28
Spain,'08,25 to 54,41.8,34.6,23.7,Foreign country
Spain,'08,25 to 54,44.2,21.1,34.6,Reporting country
Spain,'08,30 to 34,25.9,41,33.1,EU-28
Spain,'08,30 to 34,45.6,32.4,22,Extra-EU-28
Spain,'08,30 to 34,40.6,34.6,24.8,Foreign country
Spain,'08,30 to 34,32.7,21,46.3,Reporting country
Spain,'09,25 to 54,30.1,38.8,31.1,EU-28
Spain,'09,25 to 54,48,31.5,20.5,Extra-EU-28
Spain,'09,25 to 54,43,33.5,23.5,Foreign country
Spain,'09,25 to 54,43.5,21.2,35.4,Reporting country
Spain,'09,30 to 34,24.9,42.9,32.1,EU-28
Spain,'09,30 to 34,47.8,31.4,20.9,Extra-EU-28
Spain,'09,30 to 34,41.7,34.5,23.9,Foreign country
Spain,'09,30 to 34,33.3,20.9,45.8,Reporting country
Spain,'10,25 to 54,28.9,39.6,31.5,EU-28
Spain,'10,25 to 54,46.9,30.8,22.3,Extra-EU-28
Spain,'10,25 to 54,41.8,33.3,24.9,Foreign country
Spain,'10,25 to 54,42.4,21.3,36.3,Reporting country
Spain,'10,25 to 54,42.3,23.6,34.1,Total
Spain,'10,30 to 34,22.3,44.9,32.8,EU-28
Spain,'10,30 to 34,46.3,32.4,21.3,Extra-EU-28
Spain,'10,30 to 34,39.8,35.8,24.4,Foreign country
Spain,'10,30 to 34,31.8,20.9,47.4,Reporting country
Spain,'10,30 to 34,33.7,24.4,42,Total
Spain,'11,25 to 54,30.3,38.9,30.8,EU-28
Spain,'11,25 to 54,44.3,32.5,23.2,Extra-EU-28
Spain,'11,25 to 54,40.5,34.3,25.3,Foreign country
Spain,'11,25 to 54,41.3,21.4,37.3,Reporting country
Spain,'11,25 to 54,41.1,23.8,35.1,Total
