Host Country,Year,Lifelong Learning %,COB
Netherlands,'11,19.4,Reporting country
Netherlands,'11,19.8,Total
Netherlands,'12,20.5,EU-28
Netherlands,'12,20.2,Extra-EU-28
Netherlands,'12,20.2,Foreign country
Netherlands,'12,19.3,Reporting country
Netherlands,'12,19.5,Total
Netherlands,'13,20.6,EU-28
Netherlands,'13,19.9,Extra-EU-28
Netherlands,'13,20,Foreign country
Netherlands,'13,20.4,Reporting country
Netherlands,'13,20.3,Total
Netherlands,'14,19.9,EU-28
Netherlands,'14,18.9,Extra-EU-28
Netherlands,'14,19.1,Foreign country
Netherlands,'14,20.8,Reporting country
Netherlands,'14,20.5,Total
Netherlands,'15,20.5,EU-28
Netherlands,'15,19.6,Extra-EU-28
Netherlands,'15,19.8,Foreign country
Netherlands,'15,21.4,Reporting country
Netherlands,'15,21.2,Total
Netherlands,'16,22.4,EU-28
Netherlands,'16,19,Extra-EU-28
Netherlands,'16,19.8,Foreign country
Netherlands,'16,21.3,Reporting country
Netherlands,'16,21,Total
Malta,'06,6,Foreign country
Malta,'06,6.6,Reporting country
Malta,'06,6.6,Total
Malta,'07,7.8,Extra-EU-28
Malta,'07,8.1,Foreign country
Malta,'07,7.2,Reporting country
Malta,'07,7.3,Total
Malta,'08,6.3,Extra-EU-28
Malta,'08,7,Foreign country
Malta,'08,7.4,Reporting country
Malta,'08,7.4,Total
Malta,'09,7.1,Extra-EU-28
Malta,'09,6.3,Foreign country
Malta,'09,7.4,Reporting country
Malta,'09,7.3,Total
Malta,'10,9.7,Extra-EU-28
Malta,'10,8.5,Foreign country
Malta,'10,7.2,Reporting country
Malta,'10,7.3,Total
Malta,'11,9.4,Extra-EU-28
Malta,'11,8.7,Foreign country
Malta,'11,7.8,Reporting country
Malta,'11,7.9,Total
Malta,'12,8.9,Extra-EU-28
Malta,'12,7.7,Foreign country
Malta,'12,8.6,Reporting country
Malta,'12,8.6,Total
Malta,'13,9.3,Extra-EU-28
Malta,'13,7.9,Foreign country
Malta,'13,9.2,Reporting country
Malta,'13,9.1,Total
Malta,'14,10.9,Extra-EU-28
Malta,'14,9.9,Foreign country
Malta,'14,8.7,Reporting country
Malta,'14,8.8,Total
Malta,'15,8.4,EU-28
Malta,'15,5.3,Extra-EU-28
Malta,'15,6.3,Foreign country
Malta,'15,8.7,Reporting country
Malta,'15,8.5,Total
Malta,'16,8.2,EU-28
Malta,'16,7.9,Extra-EU-28
Malta,'16,8,Foreign country
Malta,'16,8.8,Reporting country
Malta,'16,8.8,Total
Macedonia*,'06,2.8,Total
Macedonia*,'07,3.6,Total
Macedonia*,'08,3.3,Total
Macedonia*,'09,4.2,Total
Macedonia*,'10,4.2,Total
Macedonia*,'11,4.3,Total
Macedonia*,'12,5,Total
Macedonia*,'13,3.9,Extra-EU-28
Macedonia*,'13,4.8,Foreign country
Macedonia*,'13,4.7,Reporting country
Macedonia*,'13,4.7,Total
Macedonia*,'14,2.6,Foreign country
Macedonia*,'14,4,Reporting country
Macedonia*,'14,4,Total
Macedonia*,'15,3.3,Reporting country
Macedonia*,'15,3.2,Total
Macedonia*,'16,1.9,Foreign country
Macedonia*,'16,3.6,Reporting country
Macedonia*,'16,3.5,Total
